origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.01,2156.2571668791916
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.025,2172.226962152059
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.05,2186.0563970134376
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.1,2202.110107091214
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.15,2213.007990150159
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.2,2221.7077165476708
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.25,2229.1985459839498
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.3,2235.9470549028183
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.35,2242.218781678529
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.4,2248.1862955327197
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.45,2253.975043612843
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.5,2259.686559183235
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.55,2265.4125411709842
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.6,2271.2456245720923
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.65,2277.2903569697996
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.7,2283.6779979304265
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.75,2290.591359914964
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.8,2298.3143366639874
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.85,2307.3492659505328
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.9,2318.7677240106
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.95,2335.7955786831653
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.975,2350.6658903453003
2025-02-19,ILI incidence,2025-02-16,1,AT,quantile,0.99,2368.0748591950046
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.01,2045.887864387425
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.025,2061.160372147823
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.05,2074.386688062798
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.1,2089.741101448588
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.15,2100.164777121876
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.2,2108.4862361840123
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.25,2115.6515670943995
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.3,2122.1069957786844
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.35,2128.106485927576
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.4,2133.815090744081
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.45,2139.352799751502
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.5,2144.8167352787245
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.55,2150.2946192500767
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.6,2155.8750761441142
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.65,2161.6581346851767
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.7,2167.76938871065
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.75,2174.3837679212547
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.8,2181.7729341963745
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.85,2190.417594439887
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.9,2201.3432065366464
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.95,2217.6368872300086
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.975,2231.866814624335
2025-02-19,ILI incidence,2025-02-23,2,AT,quantile,0.99,2248.526972880973
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.01,1937.2459828692354
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.025,1951.8230850713746
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.05,1964.4478575793244
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.1,1979.1047406658208
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.15,1989.0553700358696
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.2,1996.9994667247706
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.25,2003.840062799613
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.3,2010.0030870135058
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.35,2015.730958188152
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.4,2021.1812324171892
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.45,2026.4684548891641
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.5,2031.6853472785597
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.55,2036.9156632880056
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.6,2042.2440252163015
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.65,2047.7659517821908
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.7,2053.601381630405
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.75,2059.9173757587364
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.8,2066.9733853052753
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.85,2075.228522710142
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.9,2085.662203359816
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.95,2101.223015028116
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.975,2114.8136405838027
2025-02-19,ILI incidence,2025-03-02,3,AT,quantile,0.99,2130.72618829553
2025-02-19,ILI incidence,2025-03-09,4,AT,quantile,0.01,1858.2103705490558
2025-02-19,ILI incidence,2025-03-09,4,AT,quantile,0.025,1872.9270625385716
2025-02-19,ILI incidence,2025-03-09,4,AT,quantile,0.05,1885.6773733432658
2025-02-19,ILI incidence,2025-03-09,4,AT,quantile,0.1,1900.48537252497
